from	to	sign
GATA3	GATA3	+
STAT6	GATA3	+
Tbet	GATA3	-
STAT3	IFNg	-
STAT4	IFNg	+
NFAT	IFNg	+
IRAK	IFNg	+
Tbet	IFNg	+
IFNg	IFNgR	+
IL4R	STAT6	+
IL18R	IRAK	+
IL10R	STAT3	+
IFNb	IFNbR	+
STAT1	IL4	-
GATA3	IL4	+
IL10	IL10R	+
STAT1	Tbet	+
GATA3	Tbet	-
Tbet	Tbet	+
SOCS1	IL4R	-
IL4	IL4R	+
GATA3	IL10	+
IL12	IL12R	+
STAT6	IL18R	-
IL18	IL18R	+
STAT1	SOCS1	+
Tbet	SOCS1	+
GATA3	STAT4	-
IL12R	STAT4	+
TCR	NFAT	+
SOCS1	JAK1	-
IFNgR	JAK1	+
IFNbR	STAT1	+
JAK1	STAT1	+
