from	to	sign
Emx2	Sp8	-
Fgf8	Sp8	+
Fgf8	Coup_fti	-
Sp8	Coup_fti	-
Coup_fti	Emx2	+
Pax6	Emx2	-
Fgf8	Emx2	-
Sp8	Emx2	-
Emx2	Fgf8	-
Fgf8	Fgf8	+
Sp8	Fgf8	+
Coup_fti	Pax6	-
Emx2	Pax6	-
Sp8	Pax6	+
